flag,flag_key,fleet_size,accident_count,accident_rate,accident_rate_norm,avg_severity_risk,severity_risk_norm,avg_ship_type_risk,ship_type_risk_norm,paris_mou_category,paris_rank,paris_inspections_2022_2024,paris_detentions_2022_2024,paris_excess_factor,flag_safety_risk,flag_safety_risk_norm,risk_score
Norway,norway,1731,8,0.00462160600808781,0.00462160600808781,0.95625,0.95625,0.5403225806451614,0.5403225806451614,white,3,1824,23,-1.74,0.0,0.0,0.3752985466633123
France,france,559,47,0.08407871198568873,0.08407871198568873,0.9170212765957445,0.9170212765957445,0.49631091283459183,0.49631091283459183,white,1,297,1,-1.78,0.0,0.0,0.3743527253540062
Barbados,barbados,491,7,0.014256619144602852,0.014256619144602852,0.8500000000000002,0.8500000000000002,0.6307603686635945,0.6307603686635945,white,27,863,29,-0.81,0.0,0.0,0.3737542469520494
Liberia,liberia,5562,113,0.020316432937792162,0.020316432937792162,0.8433628318584074,0.8433628318584074,0.5765415358264344,0.5765415358264344,white,28,6035,257,-0.76,0.0,0.0,0.3600552001556585
Antigua and Barbuda,antigua and barbuda,676,21,0.03106508875739645,0.03106508875739645,0.8452380952380952,0.8452380952380952,0.5504992319508449,0.5504992319508449,white,35,1708,95,-0.14,0.0,0.0,0.35670060398658415
Bahamas,bahamas,1251,41,0.032773780975219824,0.032773780975219824,0.9378048780487804,0.9378048780487804,0.4454169944925256,0.4454169944925256,white,16,1758,45,-1.25,0.0,0.0,0.3539989133791315
Angola,angola,66,1,0.015151515151515152,0.015151515151515152,0.65,0.65,0.21774193548387097,0.21774193548387097,unlisted,,,,,0.5,0.5,0.3457233626588465
Spain,spain,483,22,0.045548654244306416,0.045548654244306416,0.8409090909090909,0.8409090909090909,0.4886363636363637,0.4886363636363637,white,26,112,1,-0.81,0.0,0.0,0.34377352719744025
Guernsey,guernsey,0,1,0.0,0.0,0.65,0.65,0.21774193548387097,0.21774193548387097,unlisted,,,,,0.5,0.5,0.3419354838709677
Ireland,ireland,97,12,0.12371134020618557,0.12371134020618557,0.6083333333333334,0.6083333333333334,0.6350806451612904,0.6350806451612904,white,23,91,0,-1.05,0.0,0.0,0.34178132967520236
Marshall Islands,marshall islands,4254,68,0.015984955336154207,0.015984955336154207,0.8985294117647057,0.8985294117647057,0.44366698292220086,0.44366698292220086,white,21,5470,181,-1.09,0.0,0.0,0.3395453375057652
United Kingdom,united kingdom,794,48,0.060453400503778336,0.060453400503778336,0.9177083333333332,0.9177083333333332,0.3768481182795698,0.3768481182795698,white,18,729,16,-1.22,0.0,0.0,0.33875246302917034
Azerbaijan,azerbaijan,320,6,0.01875,0.01875,0.44166666666666665,0.44166666666666665,0.3911290322580645,0.3911290322580645,unlisted,,,,,0.5,0.5,0.3378864247311828
Cyprus,cyprus,1032,21,0.020348837209302327,0.020348837209302327,0.9166666666666666,0.9166666666666666,0.4003456221198157,0.4003456221198157,white,19,2226,63,-1.17,0.0,0.0,0.3343402814989462
Singapore,singapore,3098,52,0.016785022595222725,0.016785022595222725,0.8682692307692306,0.8682692307692306,0.45091501240694776,0.45091501240694776,white,5,1745,28,-1.61,0.0,0.0,0.33399231644285027
China,china,10288,27,0.002624416796267496,0.002624416796267496,0.9203703703703703,0.9203703703703703,0.3991935483870968,0.3991935483870968,white,14,265,3,-1.35,0.0,0.0,0.3305470838884336
Malta,malta,1949,107,0.05489994869163674,0.05489994869163674,0.768691588785047,0.768691588785047,0.4836448598130839,0.4836448598130839,white,20,3747,113,-1.16,0.0,0.0,0.3268090993224419
Denmark,denmark,686,29,0.04227405247813411,0.04227405247813411,0.8534482758620687,0.8534482758620687,0.4003058954393771,0.4003058954393771,white,2,1246,14,-1.75,0.0,0.0,0.324007055944895
Brazil,brazil,926,4,0.004319654427645789,0.004319654427645789,0.725,0.725,0.0655241935483871,0.0655241935483871,unlisted,,,,,0.5,0.5,0.32371096199400823
Kuwait,kuwait,177,6,0.03389830508474576,0.03389830508474576,0.5083333333333333,0.5083333333333333,0.25,0.25,unlisted,,,,,0.5,0.5,0.32305790960451974
Australia,australia,631,7,0.011093502377179081,0.011093502377179081,0.5857142857142856,0.5857142857142856,0.1802995391705069,0.1802995391705069,unlisted,,,,,0.5,0.5,0.31927683181549293
Saudi Arabia,saudi arabia,482,5,0.01037344398340249,0.01037344398340249,0.48,0.48,0.24435483870967745,0.24435483870967745,grey,41,72,1,0.0,0.5,0.5,0.30868207067326997
